Itération,Sync Timestamp,EstimatedX,EstimatedY,Orientation (en degrés),?distance,Rssi Set,,,,,,Timestamp,True Position index,Sync Timestamp,TrueX,TrueY,ErrorX,ErrorY
55,08-avril-2016 11:26:00.696 ,"2,52797","14,870544",-102,"0,741308", {Ml1B:-75,56WR:-84,tBfJ:-63,z6SH:-85,T0Fy:-82,IKAo:-87} , 08-avril-2016 11:26:02.660,,,,,,
56,08-avril-2016 11:26:03.800 ,"2,527723","14,44201",-95,"0,539452", {Ml1B:-71,56WR:-81,tBfJ:-59,z6SH:-83,T0Fy:-88,IKAo:-89} , 08-avril-2016 11:26:04.164,22,08-avril-2016 11:26:03.800,"0,86","16,5","1,667723","2,05799"
57,08-avril-2016 11:26:05.581 ,"2,466764","13,882683",-89,"0,82235", {Ml1B:-72,56WR:-89,tBfJ:-60,z6SH:-85,IKAo:-79,T0Fy:-88} , 08-avril-2016 11:26:05.196,23,08-avril-2016 11:26:05.581,"0,86","14,98","1,606764","1,097317"
58,08-avril-2016 11:26:05.581 ,"2,515443","13,371417",-88,"0,510434", {Ml1B:-78,56WR:-88,tBfJ:-62,z6SH:-79,IKAo:-79,T0Fy:-87} , 08-avril-2016 11:26:06.264,,,,,,
59,08-avril-2016 11:26:07.381 ,"2,496366","12,434237",-92,"0,829042", {Ml1B:-78,56WR:-85,tBfJ:-65,z6SH:-84,IKAo:-82,T0Fy:-86} , 08-avril-2016 11:26:07.319,24,08-avril-2016 11:26:07.381,"0,86","12,98","1,636366","0,545763"
60,08-avril-2016 11:26:07.381 ,"2,391417","11,589193",-96,"0,782109", {Ml1B:-73,56WR:-88,tBfJ:-68,z6SH:-83,IKAo:-81,T0Fy:-85} , 08-avril-2016 11:26:08.350,,,,,,
61,08-avril-2016 11:26:07.381 ,"2,399473","10,930718",-96,"0,765607", {Ml1B:-72,56WR:-89,tBfJ:-70,z6SH:-79,IKAo:-80,T0Fy:-85} , 08-avril-2016 11:26:09.372,,,,,,
62,08-avril-2016 11:26:11.165 ,"2,421663","10,248678",-91,"0,673179", {Ml1B:-71,56WR:-85,tBfJ:-75,z6SH:-75,IKAo:-76,T0Fy:-84} , 08-avril-2016 11:26:10.468,25,08-avril-2016 11:26:11.165,"0,86","10,98","1,561663","0,731322"
63,08-avril-2016 11:26:11.165 ,"2,434574","9,516432",-88,"0,737521", {Ml1B:-74,56WR:-81,tBfJ:-79,z6SH:-76,IKAo:-74,T0Fy:-90} , 08-avril-2016 11:26:11.520,,,,,,
64,08-avril-2016 11:26:11.165 ,"2,468634","8,846156",-92,"0,756326", {Ml1B:-79,56WR:-81,tBfJ:-81,z6SH:-75,IKAo:-71,T0Fy:-85} , 08-avril-2016 11:26:12.526,,,,,,
65,08-avril-2016 11:26:13.816 ,"2,453037","7,978145",-94,"0,817594", {Ml1B:-73,56WR:-85,tBfJ:-84,z6SH:-74,IKAo:-70,T0Fy:-83} , 08-avril-2016 11:26:13.606,26,08-avril-2016 11:26:13.816,"0,86","8,98","1,593037","1,001855"
66,08-avril-2016 11:26:13.816 ,"2,487487","7,364776",-93,"0,772298", {Ml1B:-70,56WR:-84,tBfJ:-83,z6SH:-71,IKAo:-71,T0Fy:-82} , 08-avril-2016 11:26:14.629,,,,,,
67,08-avril-2016 11:26:15.949 ,"2,603271","6,84122",-93,"0,653352", {Ml1B:-70,56WR:-84,tBfJ:-86,z6SH:-75,IKAo:-72,T0Fy:-87} , 08-avril-2016 11:26:15.630,27,08-avril-2016 11:26:15.949,"0,86","6,98","1,743271","0,13878"
68,08-avril-2016 11:26:15.949 ,"2,74144","6,269289",-93,"0,710479", {Ml1B:-73,56WR:-84,tBfJ:-81,z6SH:-77,IKAo:-74,T0Fy:-81} , 08-avril-2016 11:26:16.723,,,,,,
69,08-avril-2016 11:26:18.999 ,"2,837042","5,826786",-94,"0,748881", {Ml1B:-76,56WR:-87,tBfJ:-84,z6SH:-74,IKAo:-74,T0Fy:-80} , 08-avril-2016 11:26:17.751,28,08-avril-2016 11:26:18.999,"0,86","4,98","1,977042","0,846786"
70,08-avril-2016 11:26:18.999 ,"2,708506","5,047179",-95,"0,595498", {Ml1B:-74,56WR:-84,tBfJ:-81,z6SH:-74,IKAo:-67,T0Fy:-81} , 08-avril-2016 11:26:18.802,,,,,,
71,08-avril-2016 11:26:18.999 ,"2,652452","4,152718",-89,"0,895151", {Ml1B:-71,56WR:-85,tBfJ:-81,z6SH:-67,IKAo:-63,T0Fy:-83} , 08-avril-2016 11:26:19.829,,,,,,
