21.400000 ; 7.380000 ; N ; {Ml1B:-71;56WR:-77;z6SH:-83;T0Fy:-80;IKAo:-87} ;
21.400000 ; 7.380000 ; W ; {Ml1B:-73;56WR:-72;tBfJ:-90;z6SH:-77;T0Fy:-76;IKAo:-85} 
21.400000 ; 7.380000 ; SW ; {Ml1B:-71;56WR:-72;tBfJ:-89;z6SH:-74;T0Fy:-71;IKAo:-88} 
21.400000 ; 7.380000 ; S ; {Ml1B:-75;56WR:-75;tBfJ:-87;z6SH:-73;T0Fy:-75;IKAo:-89} 
21.400000 ; 7.380000 ; SE ; {Ml1B:-76;56WR:-80;z6SH:-83;T0Fy:-68;IKAo:-89} ;
21.400000 ; 7.380000 ; E ; {Ml1B:-70;56WR:-79;tBfJ:-88;z6SH:-82;T0Fy:-70} ;
21.400000 ; 7.380000 ; NE ; {Ml1B:-75;56WR:-74;tBfJ:-87;z6SH:-80;T0Fy:-77;IKAo:-86} 
20.310000 ; 4.330000 ; NE ; {Ml1B:-68;56WR:-89;tBfJ:-88;z6SH:-72;T0Fy:-67;IKAo:-88} 
20.310000 ; 4.330000 ; E ; {Ml1B:-74;56WR:-84;tBfJ:-89;z6SH:-70;T0Fy:-65;IKAo:-86} 
20.310000 ; 4.330000 ; SE ; {Ml1B:-68;tBfJ:-89;z6SH:-70;T0Fy:-79;IKAo:-86} ;
20.310000 ; 4.330000 ; S ; {Ml1B:-68;56WR:-84;tBfJ:-80;z6SH:-67;T0Fy:-72;IKAo:-86} 
20.310000 ; 4.330000 ; SW ; {Ml1B:-70;56WR:-86;tBfJ:-89;z6SH:-68;T0Fy:-72;IKAo:-88} 
20.310000 ; 4.330000 ; W ; {Ml1B:-72;56WR:-83;tBfJ:-88;z6SH:-78;T0Fy:-69;IKAo:-90} 
20.310000 ; 4.330000 ; NW ; {Ml1B:-71;56WR:-81;tBfJ:-84;z6SH:-72;T0Fy:-78} ;
20.310000 ; 4.330000 ; N ; {Ml1B:-75;56WR:-82;tBfJ:-84;z6SH:-70;T0Fy:-65;IKAo:-82} 
